##########normalizacion_palabras##########
adenoviricas                            adenovírico                             AQ0FP0   I  # adenoviricas
adenovíricas                            adenovírico                             AQ0FP0   I  # adenovíricas
adenovirico                             adenovírico                             AQ0MS0   I  # adenovirico 
adenovírico                             adenovírico                             AQ0MS0   I  # adenovírico 
adenoviricos                            adenovírico                             AQ0MP0   I  # adenoviricos
adenovíricos                            adenovírico                             AQ0MP0   I  # adenovíricos
adherencial                             adherencial                             AQ0CS0   I  # adherencial
adherenciales                           adherencial                             AQ0CP0   I  # adherenciales
adisoniana                              adisoniana                              AQ0FS0   I # adisoniana
admixta                                 admixto                                 AQ0FS0   I  # admixta
admixtas                                admixto                                 AQ0FP0   I  # admixtas
admixto                                 admixto                                 AQ0MS0   I  # admixto
admixtos                                admixto                                 AQ0MP0   I  # admixtos
adrenalectomia                          adrenalectomía                          NCFS000  I  # adrenalectomia
adrenalectomía                          adrenalectomía                          NCFS000  I  # adrenalectomía
adrenalectomias                         adrenalectomía                          NCFP000  I  # adrenalectomias
adrenalectomías                         adrenalectomía                          NCFP000  I  # adrenalectomías
adriamicina                             adriamicina                             NCFS000  I  # adriamicina
adriamicinaciclofosfamida               adriamicinaciclofosfamida               NCFS000  I  # adriamicinaciclofosfamida
adriomicina                             adriomicina                             NCFS000  I  # adriomicina
adyuvancia                              adyuvancia                              NCFS000  I  # adyuvancia
aerobilia                               aerobilia                               NCFS000  I  # aerobilia
aerocolia                               aerocolia                               NCFS000  I  # aerocolia
aerosolterapia                          aerosolterapia                          NCFS000  I  # aerosolterapia
aeruginosa                              aeruginosa                              AQ0FS0   I  # aeruginosa
aesthetics                              aesthetics                              NCCN000  I  # aesthetics
afafetoproteínas                        alfafetoproteína                        NCFP000  I  # alfafetoproteínas
afaquica                                afáquico                                AQ0FS0   I  # afaquica
afáquica                                afáquico                                AQ0FS0   I  # afáquica
afaquicas                               afáquico                                AQ0FP0   I  # afaquicas
afáquicas                               afáquico                                AQ0FP0   I  # afáquicas
afaquico                                afáquico                                AQ0MS0   I  # afaquico
afáquico                                afáquico                                AQ0MS0   I  # afáquico
afaquicos                               afáquico                                AQ0MP0   I  # afaquicos
afáquicos                               afáquico                                AQ0MP0   I  # afáquicos
afebril                                 afebril                                 AQ0CS0   I  # afebril
afebriles                               afebril                                 AQ0CP0   I  # afebriles
aferencia                               aferencia                               NCFS000  I  # aferencia
aferencias                              aferencia                               NCFP000  I  # aferencias
a-fetoproteína                          a-fetoproteína                          NCFS000  I  # a-fetoproteína
agalsidasa                              agalsidasa                              NCFS000  I  # agalsidasa
age                                     age                                     NCCS000  I  # age
agrafe                                  agrafe                                  NCMS000  I  # agrafe
agrafes                                 agrafe                                  NCMP000  I  # agrafes
agudas-subagudas                        agudo-subagudo                          AQ0FP0   I  # agudas-subagudas
aguda-subaguda                          agudo-subagudo                          AQ0FS0   I  # aguda-subaguda
agudos-subagudos                        agudo-subagudo                          AQ0MP0   I  # agudos-subagudos
agudo-subagudo                          agudo-subagudo                          AQ0MS0   I  # agudo-subagudo
ahumamiento                             ahumamiento                             NCMS000  I  # ahumamiento
aisla                                   aislar                                  VMIP3S0  I  # aisla
aislan                                  aislar                                  VMIP3S0  I  # aislan
alanina-aminotransferasa                alanina-aminotransferasa                NCFS000  I  # alanina-aminotransferasa
alanini                                 alanina                                 NCCS000  I  # alanini
alanino                                 alanina                                 NCCS000  I  # alanino
albendazol                              albendazol                              NCMS000  I  # albendazol
albicans                                albicans                                NC00000  I  # albicans
albumino-citológica                     albúmino-citológica                     AQ0FS0   I  # albmino-citológica
albumino-citologica                     albúmino-citológica                     AQ0FS0   I  # albumino-citologica
albúmino-citologica                     albúmino-citológica                     AQ0FS0   I  # albúmino-citologica
albúmino-citológica                     albúmino-citológica                     AQ0FS0   I  # albúmino-citológica
albumino-citologicas                    albúmino-citológica                     AQ0FP0   I  # albumino-citologica
albúmino-citologicas                    albúmino-citológica                     AQ0FP0   I  # albúmino-citologica
albumino-citológicas                    albúmino-citológica                     AQ0FP0   I  # albumino-citológica
albúmino-citológicas                    albúmino-citológica                     AQ0FP0   I  # albúmino-citológica
albumino-citologico                     albúmino-citológica                     AQ0MS0   I  # albumino-citologica
albúmino-citologico                     albúmino-citológica                     AQ0MS0   I  # albúmino-citologica
albumino-citológico                     albúmino-citológica                     AQ0MS0   I  # albumino-citológica
albúmino-citológico                     albúmino-citológica                     AQ0MS0   I  # albúmino-citológica
albumino-citologicos                    albúmino-citológica                     AQ0MP0   I  # albumino-citologica
albúmino-citologicos                    albúmino-citológica                     AQ0MP0   I  # albúmino-citologica
albumino-citológicos                    albúmino-citológica                     AQ0MP0   I  # albumino-citológica
albúmino-citológicos                    albúmino-citológica                     AQ0MP0   I  # albúmino-citológica
alcalinizante                           alcalinizante                           AQ0CS0   I  # alcalinizante
